Clave,Fecha,Almacenamiento
AOBSO,2006-11-11,1617.2
AGZCH,2006-11-11,85
ARCSO,2006-11-11,719.96
PMOSO,2006-11-11,13.39
ARLSO,2006-11-11,24.78
CHTSO,2006-11-11,18.15
IRASO,2006-11-11,10.41
CHTSO,2006-11-12,18.15
ARLSO,2006-11-12,24.4
PMOSO,2006-11-12,13.39
ARCSO,2006-11-12,715.44
AGZCH,2006-11-12,84.94
AOBSO,2006-11-12,1617.12
PECSO,2006-11-12,2268.1
LCDSO,2006-11-12,748.26
IRASO,2006-11-12,10.38
LCDSO,2006-11-13,747.87
PECSO,2006-11-13,2267.2
AOBSO,2006-11-13,1595.92
AGZCH,2006-11-13,84.87
ARCSO,2006-11-13,710.36
PMOSO,2006-11-13,13.39
ARLSO,2006-11-13,24.01
CHTSO,2006-11-13,18.15
IRASO,2006-11-13,10.36
CHTSO,2006-11-14,18.15
ARLSO,2006-11-14,23.81
PMOSO,2006-11-14,13.39
ARCSO,2006-11-14,705.39
AGZCH,2006-11-14,84.87
AOBSO,2006-11-14,1584.72
PECSO,2006-11-14,2265.41
LCDSO,2006-11-14,747.1
IRASO,2006-11-14,10.33
LCDSO,2006-11-15,746.32
PECSO,2006-11-15,2265.41
AOBSO,2006-11-15,1572.4
AGZCH,2006-11-15,84.87
ARCSO,2006-11-15,700.55
PMOSO,2006-11-15,13.39
ARLSO,2006-11-15,23.6
CHTSO,2006-11-15,18.15
IRASO,2006-11-15,10.3
CHTSO,2006-11-16,18.12
ARLSO,2006-11-16,23.3
PMOSO,2006-11-16,13.39
ARCSO,2006-11-16,695.72
AGZCH,2006-11-16,84.81
AOBSO,2006-11-16,1556.72
PECSO,2006-11-16,2266.31
LCDSO,2006-11-16,745.54
IRASO,2006-11-16,10.3
LCDSO,2006-11-17,745.54
PECSO,2006-11-17,2266.31
AOBSO,2006-11-17,1541.2
AGZCH,2006-11-17,84.75
ARCSO,2006-11-17,690.35
PMOSO,2006-11-17,13.39
ARLSO,2006-11-17,22.99
CHTSO,2006-11-17,18.12
IRASO,2006-11-17,10.28
CHTSO,2006-11-18,18.12
ARLSO,2006-11-18,22.69
PMOSO,2006-11-18,13.39
ARCSO,2006-11-18,684.97
AGZCH,2006-11-18,84.75
AOBSO,2006-11-18,1524.7
PECSO,2006-11-18,2266.31
LCDSO,2006-11-18,743.98
IRASO,2006-11-18,10.25
LCDSO,2006-11-19,743.98
PECSO,2006-11-19,2265.41
AOBSO,2006-11-19,1508.2
AGZCH,2006-11-19,84.75
ARCSO,2006-11-19,679.07
PMOSO,2006-11-19,13.39
ARLSO,2006-11-19,22.69
CHTSO,2006-11-19,18.12
IRASO,2006-11-19,10.23
CHTSO,2006-11-20,18.12
ARLSO,2006-11-20,22.18
PMOSO,2006-11-20,13.39
ARCSO,2006-11-20,674.23
AGZCH,2006-11-20,84.68
AOBSO,2006-11-20,1490.8
PECSO,2006-11-20,2265.41
LCDSO,2006-11-20,743.21
IRASO,2006-11-20,10.2
LCDSO,2006-11-21,742.82
PECSO,2006-11-21,2264.51
AOBSO,2006-11-21,1478.5
AGZCH,2006-11-21,84.68
ARCSO,2006-11-21,668.86
PMOSO,2006-11-21,13.39
ARLSO,2006-11-21,21.88
CHTSO,2006-11-21,18.12
IRASO,2006-11-21,10.18
CHTSO,2006-11-22,18.06
ARLSO,2006-11-22,21.57
PMOSO,2006-11-22,13.39
ARCSO,2006-11-22,662.95
AGZCH,2006-11-22,84.62
AOBSO,2006-11-22,1464.2
PECSO,2006-11-22,2263.61
LCDSO,2006-11-22,742.43
IRASO,2006-11-22,10.15
LCDSO,2006-11-23,742.04
PECSO,2006-11-23,2263.61
AOBSO,2006-11-23,1447.7
AGZCH,2006-11-23,84.62
ARCSO,2006-11-23,657.04
PMOSO,2006-11-23,13.39
ARLSO,2006-11-23,21.37
CHTSO,2006-11-23,18
IRASO,2006-11-23,10.12
CHTSO,2006-11-24,17.98
ARLSO,2006-11-24,21.06
PMOSO,2006-11-24,13.39
ARCSO,2006-11-24,651.28
AGZCH,2006-11-24,84.62
AOBSO,2006-11-24,1429.7
PECSO,2006-11-24,2263.61
LCDSO,2006-11-24,741.65
IRASO,2006-11-24,10.12
LCDSO,2006-11-25,741.26
PECSO,2006-11-25,2264.51
AOBSO,2006-11-25,1413.22
AGZCH,2006-11-25,84.62
ARCSO,2006-11-25,645.7
PMOSO,2006-11-25,13.39
ARLSO,2006-11-25,20.76
CHTSO,2006-11-25,17.98
IRASO,2006-11-25,10.1
CHTSO,2006-11-26,17.96
ARLSO,2006-11-26,20.45
PMOSO,2006-11-26,13.39
ARCSO,2006-11-26,639.62
AGZCH,2006-11-26,84.56
AOBSO,2006-11-26,1395.71
PECSO,2006-11-26,2262.72
LCDSO,2006-11-26,740.87
IRASO,2006-11-26,10.07
LCDSO,2006-11-27,740.42
PECSO,2006-11-27,2264.51
AOBSO,2006-11-27,1379.23
AGZCH,2006-11-27,84.44
ARCSO,2006-11-27,634.04
PMOSO,2006-11-27,13.39
ARLSO,2006-11-27,20.15
CHTSO,2006-11-27,17.96
IRASO,2006-11-27,10.07
CHTSO,2006-11-28,17.96
ARLSO,2006-11-28,19.84
PMOSO,2006-11-28,13.39
ARCSO,2006-11-28,628.46
AGZCH,2006-11-28,84.43
AOBSO,2006-11-28,1363.76
PECSO,2006-11-28,2264.51
LCDSO,2006-11-28,740.09
IRASO,2006-11-28,10.02
LCDSO,2006-11-29,739.32
PECSO,2006-11-29,2264.51
AOBSO,2006-11-29,1348.33
AGZCH,2006-11-29,84.43
ARCSO,2006-11-29,622.88
PMOSO,2006-11-29,13.47
ARLSO,2006-11-29,19.54
CHTSO,2006-11-29,17.94
IRASO,2006-11-29,9.99
CHTSO,2006-11-30,17.94
ARLSO,2006-11-30,19.23
PMOSO,2006-11-30,13.47
ARCSO,2006-11-30,616.8
AGZCH,2006-11-30,84.31
AOBSO,2006-11-30,1331.18
PECSO,2006-11-30,2263.61
LCDSO,2006-11-30,738.54
IRASO,2006-11-30,9.97
LCDSO,2006-12-01,737.76
PECSO,2006-12-01,2261.9
AOBSO,2006-12-01,1317.6
AGZCH,2006-12-01,84.24
ARCSO,2006-12-01,611.22
PMOSO,2006-12-01,13.47
ARLSO,2006-12-01,18.93
CHTSO,2006-12-01,17.94
IRASO,2006-12-01,9.94
CHTSO,2006-12-02,17.92
ARLSO,2006-12-02,18.62
PMOSO,2006-12-02,13.47
ARCSO,2006-12-02,605.64
AGZCH,2006-12-02,84.18
AOBSO,2006-12-02,1312.75
PECSO,2006-12-02,2260.92
LCDSO,2006-12-02,736.98
IRASO,2006-12-02,9.92
LCDSO,2006-12-03,736.21
PECSO,2006-12-03,2260.92
AOBSO,2006-12-03,1289.47
AGZCH,2006-12-03,84.12
ARCSO,2006-12-03,600.23
